dt,date,time,dayoftheweek,latitude,longitude,site_name,site_code,source_id,PM1,PM10,PM25,AQI,NO2,O3,SO2
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.462839,-2.584482,Bristol St Paul's,OPENAQ_Bristol-St-Paul's731,OPENAQ,,11.0,6.0,2.0,5.0,54.0,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.638094,-2.678731,Chepstow A48,OPENAQ_Chepstow-A482553,OPENAQ,,12.0,4.0,2.0,13.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.73003,-1.237768,iffley village,OPENAQ_iffley-village270495,OPENAQ,0.7,11.5,11.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.77305,-1.272415,Complins Close,OPENAQ_Complins-Close270063,OPENAQ,0.2,7.8,7.3,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.572976,0.179079,Havering - Romford,OPENAQ_Havering---Romford225789,OPENAQ,,-0.1,,1.0,8.8,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.552476,-0.258089,Brent - Ikea,OPENAQ_Brent---Ikea225723,OPENAQ,,15.0,14.0,2.0,7.1,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,52.20237,0.124456,Cambridge Roadside,OPENAQ_Cambridge-Roadside2449,OPENAQ,,,,1.0,11.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.70268,-0.282015,North West London,OPENAQ_North-West-London62570,OPENAQ,1.9,0.5,0.4,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.632696,-3.947374,Swansea Roadside,OPENAQ_Swansea-Roadside2577,OPENAQ,,11.0,4.0,2.0,5.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.737762,-0.348522,St Albans St Julians,OPENAQ_St-Albans-St-Julians270482,OPENAQ,0.0,0.0,0.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.490532,0.074003,Greenwich - A206 Burrage Grove,OPENAQ_Greenwich---A206-Burrage-Grove225747,OPENAQ,,7.3,7.3,1.0,41.8,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.537799,-0.247793,Brent - John Keble Primary School,OPENAQ_Brent---John-Keble-Primary-School225719,OPENAQ,,3.7,,1.0,53.9,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.4795312838203,-0.0252606031340197,Lewisham - Deptford,OPENAQ_Lewisham---Deptford225766,OPENAQ,,,5.0,1.0,11.1,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.58395,-3.770822,Port Talbot Margam,OPENAQ_Port-Talbot-Margam946,OPENAQ,,16.0,5.0,2.0,6.0,57.0,1.0
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.601203,-2.977281,Newport,OPENAQ_Newport764,OPENAQ,,4.0,3.0,1.0,3.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.555378,-0.116146,Islington - Holloway Road,OPENAQ_Islington---Holloway-Road225791,OPENAQ,,6.1,,1.0,13.5,,
